Station,Sample,Filter,Photo,Type,Type2,Colour,Colour2,Colour3,Colour4,Col.Type,Length,Width,Area,Perimeter,Perimeter.2,Comments
920,Blanksea,64,,Fibre,,trasparent,,,,,915.69,15.46,,,,
920,Blanksea,64,1,Fibre,,black,,,,,2071.61,13.08,,,,
918920,Blank,66,2,Fibre,,black,,,,,143.26,18,,,,
921,A,76,,Fibre,,black,,,,,729.94,36.96,,,,rubber?
921,A,76,1,Fibre,,black,,,,,186.78,7.33,,,,natural?
921,B,77,1,Fibre,,faint blue,,,,,3079.43,56.61,,,,piece of rope??
921,B,77,2,Fibre,,faint blue,,,,,364.44,75.89,,,,piece of rope??
921,B,77,3,Fibre,,faint blue,,,,,445.69,39.82,,,,piece of rope??
921,C,78,,Fibre,,grey/transparent,,,,,1450.71,13.75,,,,
921,C,78,1,Fibre,,faint blue,,,,,2820.29,23.98,,,,piece of rope??
921,Blanksea,65,,Fibre,,transparent,,,,,2302.67,19.27,,,,
922,A,79,1,Fibre,,black,,,,,331,15.17,,,,
922,A,79,2,Fibre,,faint blue,,,,,393.44,36.66,,,,piece of rope??
922,A,79,4,Fragment,,blue,,,,,287.3,158.54,46121.39,928.22,,often in samples/not plastic?/contamination?
922,A,79,6,Fragment,,blue,,,,,418.77,174.98,57254.96,1043.56,,often in samples/not plastic?/contamination?
922,A,79,8,Fibre,,grey/transparent,,,,,2325.67,18.65,,,,
922,B,80,,Fragment,,blue,,,,,108.74,44.56,5601.56,313.49,,often in samples/not plastic?/contamination?
922,B,80,1,Fibre,,grey/transparent,,,,,1992.85,12.84,,,,natural
922,B,80,2,Fibre,,black,,,,,1102.57,8.24,,,,
922,B,80,3,Fragment,,dark blue,,,,,323.66,191.44,61344.87,1025.17,,
922,B,80,4,Fibre,,brown,,,,,1451.64,12.84,,,,
922,C,81,,Fibre,,Black,,,,,1304.69,16.93,,,,
922,C,81,1,Fibre,,Black,,,,,593.54,58.38,,,,rubber
922,C,81,1,Paint,,Blue,,,,,297.37,158.42,45751.43,912.98,,paint from boat?
922,C,81,2,Fibre,,Grey,,,,,1078.12,18.45,,,,natural?
922,C,81,3,Paint,,Blue,,,,,226.13,162.72,29248.8,662.75,,paint from boat?
922,C,81,4,Fibre,,Grey,,,,,4411.12,18.61,,.,,natural?
922,C,81,5,Fibre,,Blue,,,,,798.01,49.74,,,,piece of rope??
922,Blanksea,67,,,,,,,,,,,,,,nothing
921922,Blank,68,,,,,,,,,,,,,,nothing
