Station;Sample;Filter;Photo;Type;Colour;Colour2;Colour3;Colour4;Colour Type;Length;Width;Area;Perimeter;Perimeter-2;Comments
St 914-C;St 914-C;44;13;Fibre;Red;;;;;1404.27;18.25;NA;NA;NA;NA
St 914-C;St 914-C;44;14;Fibre;Blue;;;;;1020.71;22.42;NA;NA;NA;NA
St 914-Blank;St 914-Blank;45;-0;Fibre;Transparent;;;;;2922.02;40.36;NA;NA;NA;This would have not been detected on a normal filter
St 914-Blank;St 914-Blank;45;1;Fibre;Transparent/redish;;;;;1877.33;5.85;NA;NA;NA;This would have not been detected on a normal filter
St 914-Blank;St 914-Blank;45;2;Fibre;Transparent/blue;;;;;1044.96;11.61;NA;NA;NA;This fibre is often found in samples!!
St 914-Blank;St 914-Blank;45;3;Fibre;Transparent/redish;;;;;769.08;4.85;NA;NA;NA;NA
St 914-Blank;St 914-Blank;45;4;Fibre;Transparent/redish;;;;;1136.2;4.22;NA;NA;NA;Same as 1 and 3
St 914-Blank;St 914-Blank;45;5;Fibre;Transparent/redish;;;;;1067.04;4.68;NA;NA;NA;Same as 1,3 and 4
St 915-A;St 915-A;46;NA;Fibre;Blue;;;;;1799.74;27.79;NA;NA;NA;Looks like propper plastic
St 915-A;St 915-A;46;1;Fibre;Blue;;;;;259.19;16.64;NA;NA;NA;Looks like propper plastic
St 915-A;St 915-A;46;2;Fibre;Transparent;;;;;858.49;19.6;NA;NA;NA;NA
St 915-A;St 915-A;46;3;Fibre;red;;;;;2384.73;11.77;NA;NA;NA;NA
St 915-A;St 915-A;46;3;Fragment;Transparent/black;;;;;367.39;83.88;39800.94;958.55;NA;NA
St 915-B;St 915-B;47;NA;Fibre;Black;;;;;356.74;8.87;NA;NA;NA;NA
St 915-B;St 915-B;47;1;Fibre;Black;;;;;1647.49;6.84;NA;NA;NA;NA
St 915-B;St 915-B;47;2;Fibre;Blue;;;;;437.12;12.74;NA;NA;NA;NA
St 915-C;St 915-C;48;NA;Fibre;Transparent;;;;;1168.34;16.23;NA;NA;NA;NA
St 915-C;St 915-C;48;1;Fibre;Black;;;;;440.23;8.5;NA;NA;NA;NA
St 915-C;St 915-C;48;2;Fibre;Blue;;;;;659.79;16.31;NA;NA;NA;NA
St 915-C;St 915-C;48;3;Fibre;Black;;;;;555.06;13.27;NA;NA;NA;NA
St 915-C;St 915-C;48;4;Fibre;Black;;;;;5357.72;8.94;NA;NA;NA;NA
St 915-C;St 915-C;48;5;Fibre;Blue;;;;;1074.05;8.94;NA;NA;NA;sometimes seen on blanks
St 915-C;St 915-C;48;6;Fibre;Black;;;;;644.34;12.16;NA;NA;NA;NA
St 915-C;St 915-C;48;7;Fibre;Blue;;;;;392.89;19.33;NA;NA;NA;NA
St 915 Blank (sea);St 915 Blank (sea);50;-0;Fibre;Transparent;;;;;3580.68;7.12;NA;NA;NA;NB: St 915-917 blank was filtered on filter paper right after sampling without processing it any further.
St 915 Blank;St 915 Blank;51;NA;NA;NA;;;;;NA;NA;NA;NA;NA;nothing
St 916-A;St 916-A;52;NA;Fibre;Purple/black;;;;;925.11;9.69;NA;NA;NA;NA
St 916-A;St 916-A;52;1;Fibre;Purple/black;;;;;584.53;13.21;NA;NA;NA;NA
St 916-B;St 916-B;53;NA;NA;NA;;;;;NA;NA;NA;NA;NA;nothing
St 916-C;St 916-C;54;1;Fibre;Black;;;;;774.67;9.92;NA;NA;NA;NA
St 916-C;St 916-C;54;2;Fragment;White;;;;;323.6;126.3;44284.11;922.45;NA;NA
St 916 Blank (sea);St 916 Blank (sea);55;-0;Fibre;Transparent;;;;;1666.34;9.53;NA;NA;NA;NB: St 915-917 blank was filtered on filter paper right after sampling without processing it any further.
St 916 Blank (sea);St 916 Blank (sea);55;2;Fibre;Transparent;;;;;656.09;16.93;NA;NA;NA;NA
St 916 Blank;St 916 Blank;56;NA;NA;NA;;;;;NA;NA;NA;NA;NA;nothing
St 917-A ;St 917-A ;57;NA;NA;NA;;;;;NA;NA;NA;NA;NA;lost sample
St 917-B;St 917-B;58;NA;NA;NA;;;;;NA;NA;NA;NA;NA;impossible to see thourgh
St 917-C;St 917-C;59;NA;NA;NA;;;;;NA;NA;NA;NA;NA;impossible to see thourgh
St 917 Blank (sea);St 917 Blank (sea);61;1;Fibre;Transparent/bluish;;;;;826.69;20.09;NA;NA;NA;NB: St 915-917 blank was filtered on filter paper right after sampling without processing it any further.
St 917 Blank (sea);St 917 Blank (sea);61;NA;Fibre;Blue;;;;;186.87;9.02;NA;NA;NA;NB: St 915-917 blank was filtered on filter paper right after sampling without processing it any further.
St 917 Blank;St 917 Blank;60;NA;NA;NA;;;;;NA;NA;NA;NA;NA;nothing
St 918 A;St 918 A;67;NA;Fibre;black;;;;;2042.58;7.38;NA;NA;NA;looks like plastic
St 918 A;St 918 A;67;1;Paint;blue;;;;;264.56;284.49;63380.45;948.92;NA;paint from boat
St 918 A;St 918 A;67;2;Fibre;faint blue/transparent;;;;;1219.91;17.01;NA;NA;NA;often in samples/not plastic?/contamination?
St 918 A;St 918 A;67;3;Paint;blue;;;;;122.87;79.94;10530.51;425.75;NA;paint from boat
St 918 A;St 918 A;67;4;Fibre;orange;;;;;583.84;21.59;NA;NA;NA;NA
St 918 A;St 918 A;67;5;Fibre;black;;;;;211.92;8.28;NA;NA;NA;looks like rubber
St 918 B;St 918 B;68;NA;Fibre;black;;;;;1400.88;10.54;NA;NA;NA;NA
St 918 B;St 918 B;68;1;Fragment;faint blue/transparent;;;;;246.6;55.45;13601.35;629.64;NA;often in samples/not plastic?/contamination?
St 918 C;St 918 C;69;NA;Fibre;faint blue/transparent;;;;;1734.02;6.7;NA;NA;NA;often in samples/not plastic?/contamination?
St 918 C;St 918 C;69;1;Fibre;Black;;;;;659.23;12.1;NA;NA;NA;real plastic
St 918 C;St 918 C;69;2;Fibre;faint blue/transparent;;;;;1861.01;80.4;NA;NA;NA;often in samples/not plastic?/contamination?
St 918 C;St 918 C;69;2;Fibre;faint blue/transparent;;;;;339.94;11.06;NA;NA;NA;often in samples/not plastic?/contamination?
St 918 C;St 918 C;69;2;Fibre;faint blue/transparent;;;;;1292.65;23.85;NA;NA;NA;often in samples/not plastic?/contamination?
St 918 C;St 918 C;69;3;Fragment;faint blue green/transparent;;;;;325.24;181.41;51923.5;904.93;NA;often in samples/not plastic?/contamination?
St 918 C;St 918 C;69;4;Fibre;faint blue;;;;;1263.32;26.41;NA;NA;NA;often in samples/not plastic?/contamination?
St 918 C;St 918 C;69;5;Fibre;brown/transparent;;;;;2435.76;3.69;NA;NA;NA;NA
St 918 C;St 918 C;69;6;Fibre;faint blue;;;;;794.72;29.5;NA;NA;NA;often in saples, rope?
St 918 C;St 918 C;69;7;Fibre;faint blue;;;;;2845.99;86.86;NA;NA;NA;often in saples, rope?
St 918 C;St 918 C;69;8;Fibre;faint blue;;;;;565.06;42.02;NA;NA;NA;often in saples, rope?
St 918 C;St 918 C;69;8;Fibre;faint blue;;;;;310.62;46.29;NA;NA;NA;often in saples, rope?
St 918 Blank (sea);St 918 Blank (sea);62;NA;Fibre;Transparent;;;;;731.51;9.8;NA;NA;NA;NA
