"","Station","Sample","Filter","Photo","Type","Type2","Colour","Colour2","Colour3","Colour4","Col.Type","Length","Width","Area","Perimeter","Perimeter.2","Possible.contamination","Comments","SizeClass"
"177","914","C",44,7,"Fibre",,"red",,,,,2106.02,17.9,,,,,,"large"
"178","914","C",44,13,"Fibre",,"red",,,,,1404.27,18.25,,,,,,"large"
"179","914","C",44,1,"Fibre",,"transparent","blue",,,"sectioned",636.51,11.1,,,,,"often observed","large"
"180","914","C",44,2,"Fibre",,"transparent","blue",,,"sectioned",1272.33,11.54,,,,,"often observed","large"
"181","914","C",44,3,"Fibre",,"transparent","blue",,,"sectioned",2012.1,7.73,,,,,"often observed","large"
"182","914","C",44,6,"Fibre",,"transparent","blue",,,"sectioned",3697.98,16.32,,,,,"often observed","large"
"183","914","C",44,9,"Fibre",,"transparent","blue",,,"sectioned",443.98,8.46,,,,,"often observed","large"
"184","914","C",44,9,"Fibre",,"transparent","blue",,,"sectioned",354.15,5.47,,,,,"often observed","large"
"185","914","C",44,10,"Fibre",,"transparent","blue",,,"sectioned",1658.63,15.46,,,,,"often observed","large"
"186","914","C",44,11,"Fibre",,"transparent","blue",,,"sectioned",2133.63,19.05,,,,,"often observed","large"
"187","914","C",44,12,"Fibre",,"transparent","blue",,,"sectioned",3924.31,13.6,,,,,"often observed","large"
"188","915","A",46,3,"Fragment",,"black","transparent",,,"sectioned",367.39,83.88,39800.94,"958.55",,,"Looks like rubber/often observed","large"
"189","915","A",46,,"Fibre",,"blue",,,,,1799.74,27.79,,,,,"Looks like propper plastic","large"
"190","915","A",46,1,"Fibre",,"blue",,,,,259.19,16.64,,,,,"Looks like propper plastic","medium"
"191","915","A",46,3,"Fibre",,"red",,,,,2384.73,11.77,,,,,,"large"
"192","915","A",46,2,"Fibre",,"transparent",,,,,858.49,19.6,,,,,,"large"
"193","915","B",47,,"Fibre",,"black",,,,,356.74,8.87,,,,,,"large"
"194","915","B",47,1,"Fibre",,"black",,,,,1647.49,6.84,,,,,,"large"
"195","915","B",47,2,"Fibre",,"blue",,,,,437.12,12.74,,,,,,"large"
"196","915","Blank",51,,,,,,,,,,,,,,,"Nothing found",
"197","915","Blank sea",50,0,"Fibre",,"transparent",,,,,3580.68,7.12,,,,,"NB: St 915-917 blank was filtered on filter paper right after sampling without processing it any further.","large"
"198","915","C",48,1,"Fibre",,"black",,,,,440.23,8.5,,,,,,"large"
"199","915","C",48,3,"Fibre",,"black",,,,,555.06,13.27,,,,,,"large"
"200","915","C",48,4,"Fibre",,"black",,,,,5357.72,8.94,,,,,,"large"
"201","915","C",48,6,"Fibre",,"black",,,,,644.34,12.16,,,,,,"large"
"202","915","C",48,5,"Fibre",,"blue","transparent",,,"sectioned",1074.05,8.94,,,,,"often observed","large"
"203","915","C",48,2,"Fibre",,"blue",,,,,659.79,16.31,,,,,,"large"
"204","915","C",48,7,"Fibre",,"blue",,,,,392.89,19.33,,,,,,"large"
"205","915","C",48,,"Fibre",,"transparent",,,,,1168.34,16.23,,,,,,"large"
"206","916","A",52,,"Fibre",,"brown",,,,,925.11,9.69,,,,,,"large"
"207","916","A",52,1,"Fibre",,"purple",,,,,584.53,13.21,,,,,,"large"
"208","916","B",53,,,,,,,,,,,,,,,"Nothing found",
"209","916","Blank",56,,,,,,,,,,,,,,,"Nothing found",
"210","916","Blank sea",55,0,"Fibre",,"transparent",,,,,1666.34,9.53,,,,,"NB: St 915-917 blank was filtered on filter paper right after sampling without processing it any further.","large"
"211","916","Blank sea",55,2,"Fibre",,"transparent",,,,,656.09,16.93,,,,,,"large"
"212","916","C",54,1,"Fibre",,"black",,,,,774.67,9.92,,,,,,"large"
"213","916","C",54,2,"Fragment",,"white",,,,,323.6,126.3,44284.11,"922.45",,,,"medium"
"214","917","A",57,,,,,,,,,,,,,,,"sample lost",
"215","917","B",58,,,,,,,,,,,,,,,"impossible to see thourgh",
"216","917","Blank",60,,,,,,,,,,,,,,,"Nothing found",
"217","917","Blank sea",61,1,"Fibre",,"green",,,,"light",826.69,20.09,,,,,"NB: St 915-917 blank was filtered on filter paper right after sampling without processing it any further.","large"
"218","917","Blank sea",61,,"Fibre",,"purple",,,,,186.87,9.02,,,,,"NB: St 915-917 blank was filtered on filter paper right after sampling without processing it any further.","medium"
"219","917","C",59,,,,,,,,,,,,,,,"impossible to see thourgh",
"220","918","A",67,,"Fibre",,"black",,,,,2042.58,7.38,,,,,"Looks like propper plastic","large"
"221","918","A",67,5,"Fibre",,"black",,,,,211.92,8.28,,,,,,"medium"
"222","918","A",67,1,"Paint",,"blue",,,,,264.56,284.49,63380.45,"948.92",,"paint from boat?",,"medium"
"223","918","A",67,3,"Paint",,"blue",,,,,122.87,79.94,10530.51,"425.75",,"paint from boat?",,"medium"
"224","918","A",67,4,"Fibre",,"orange",,,,,583.84,21.59,,,,,,"large"
"225","918","A",67,2,"Fibre",,"transparent","blue",,,"sectioned",1219.91,17.01,,,,,"often observed","large"
"226","918","B",68,,"Fibre",,"black",,,,,1400.88,10.54,,,,,,"large"
"227","918","B",68,1,"Fibre",,"blue",,,,"light",246.6,55.45,13601.35,"629.64",,,"often observed","medium"
"228","918","Blank sea",62,1,"Fibre",,"blue",,,,,61.85,8.52,,,,,,"small"
"229","918","Blank sea",62,2,"Fibre",,"transparent","blue",,,"sectioned",394.4,28.83,,,,,"often observed","large"
"230","918","Blank sea",62,,"Fibre",,"transparent",,,,,731.51,9.8,,,,,,"large"
"231","918","C",69,1,"Fibre",,"black",,,,,659.23,12.1,,,,,"Looks like propper plastic","large"
"232","918","C",69,,"Fibre",,"blue",,,,"light",1734.02,6.7,,,,,"often observed","large"
"233","918","C",69,2,"Fibre",,"blue",,,,"light",1861.01,80.4,,,,,"often observed","large"
"234","918","C",69,2,"Fibre",,"blue",,,,"light",339.94,11.06,,,,,"often observed","medium"
"235","918","C",69,2,"Fibre",,"blue",,,,"light",1292.65,23.85,,,,,"often observed","large"
"236","918","C",69,4,"Fibre",,"blue",,,,"light",1263.32,26.41,,,,,"often observed","large"
"237","918","C",69,6,"Fibre",,"blue",,,,"light",794.72,29.5,,,,"piece of rope?",,"large"
"238","918","C",69,7,"Fibre",,"blue",,,,"light",2845.99,86.86,,,,"piece of rope?",,"large"
"239","918","C",69,8,"Fibre",,"blue",,,,"light",565.06,42.02,,,,"piece of rope?",,"large"
"240","918","C",69,8,"Fibre",,"blue",,,,"light",310.62,46.29,,,,"piece of rope?",,"medium"
"241","918","C",69,5,"Fibre",,"brown",,,,"light",2435.76,3.69,,,,,,"large"
"242","918","C",69,3,"Fragment",,"green",,,,"light",325.24,181.41,51923.5,"904.93",,"Piece of rope?",,"medium"
"243","919","A",70,9,"Fibre",,"black",,,,,1753.45,8.2,,,,,"Looks like propper plastic","large"
"244","919","A",70,8,"Fibre",,"black",,,,,1204.7,8.2,,,,,"Looks like propper plastic","large"
"245","919","A",70,10,"Fibre",,"black",,,,,1274.99,14.64,,,,,"Looks like propper plastic","large"
"246","919","A",70,5,"Fragment",,"blue",,,,"light",130.51,100.32,13747.48,"496.52",,,"often in samples/not plastic?/contamination?","medium"
"247","919","A",70,7,"Fragment",,"blue",,,,"light",128.96,355.73,37313.16,"919.43",,,"often in samples/not plastic?/contamination?","medium"
"248","919","A",70,2,"Fibre",,"blue",,,,,768.99,9.17,,,,,,"large"
"249","919","A",70,4,"Fibre",,"grey",,,,,2997.66,18.63,,,,,"natural?","large"
"250","919","A",70,,"Paint",,"orange",,,,,129.95,118.36,9572.82,"368.84",,"paint from boat?",,"medium"
"251","919","B",71,5,"Fibre",,"black",,,,,927.57,20.38,,,,,,"large"
